,4
best_result,-186.73090711996213
mean_scores_g,"[-126.54135742402828, -186.71598497232603, -186.7256507405723, -186.72735563126867, -186.72922366822854, -186.7295872660597, -186.7297868685471, -186.72988070715513, -186.7299416283355, -186.73000761123865, -186.73007053467177, -186.73012536382603, -186.73017013818483, -186.7303831782615, -186.7304253862157, -186.73048602551552, -186.73050400349808, -186.73054349072135, -186.73054349072135, -186.7305849853447, -186.7305849853447, -186.7305849853447, -186.73061302284054, -186.73064792404574, -186.73067093470104, -186.73067093470104, -186.73068534576456, -186.73068534576456, -186.73068534576456, -186.73069501754134]"
SR,0.8
CR,0.8
gamma,0.1
opposition,True
generations,30
m,100
problem,shubert
