,10
best_result,-1.0316284498678954
mean_scores_g,"[0.9272420026369588, -0.9323636545791913, -1.0315496488430114, -1.0315946106361906, -1.0316170399957514, -1.0316225533417338, -1.0316234157640025, -1.0316247652289974, -1.0316259286524172, -1.031626248242688, -1.0316268607887196, -1.0316275324036184, -1.0316277368064988, -1.0316277949790162, -1.0316277949790162, -1.0316277949790162, -1.0316278518311464, -1.0316279295599742, -1.0316279723712825, -1.0316279723712825, -1.0316279853110046, -1.0316279853110046, -1.0316280416165, -1.0316280416165, -1.0316280521242618, -1.0316280806129328, -1.0316281197266193, -1.0316281197266193, -1.0316281645826564, -1.031628192581465]"
SR,0.8
CR,0.8
gamma,0.1
opposition,True
generations,30
m,100
problem,camel
